Information Under Heading,Block,,Jawhar,Vikramgad,Wada,Junnar,Mokhada,Palghar,Sangamner,Akole,Jhadol,Aaspur,Kusalgarh,Bagidora,Talwara-Banswara,Kishanganj,Baran,Antah,Pratapgarh,Begun,Mandalgarh,Mandal,Gogunda,Kumbhalgarh,Pati,Niwali,Barwani,Rajpur,Sendhwa,Zhirniya,Pandhana,Khalwa,Bichiya,Mandla,Ghughri,Tirla,Nalcha,Dhar,Sardarpur,Kukshi,Ranapur,Jhabua,Meghnagar,Thandla,Rama,Burhar,Kotma,Sohagpur,Gohparu,Badnawar,Petlawad,Chicholi,Betul,Athner,Shahpur,Ghoda Dongri,Kundra,Jeypore,Bariguma,Kotapad,Baipariguda,Nabarangpur,Papadahandi,Kosagumda,Bandhugaon,Dasmantpur,Koraput,Lamtaput,Laxmipur,Nandapur,Narayanpatna,Potangi,Semiliguda,Sunabeda NAC,Mawai,Bijadandi,Narayanganj,Niwas,Mohgaon,Beohari,Jaisinghnagar,Bhainsdehi,Bhimpur,Multai,Amla,Prabhat Pattan,Choti Sarvan,Ghatol,Pipalkhoont,Garhi,Surgana,Trimbak,Peint,Igatpuri,Dabugam,Nandahandi,Tentulikhunti,Jharigam,Umerkote,Boriguma
,State,,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha
,District,,Palghar,Palghar,Palghar,Pune,Palghar,Palghar,Ahmednagar,Ahmednagar,Udaipur,Dungarpur,Banswara,Banswara,Banswara,Baran,Baran,Baran,Pratapgarh,Chittaurgarh,Bhilwara,Bhilwara,Udaipur,Rajsamand,Barwani,Barwani,Barwani,Barwani,Barwani,Khargone,Khandwa,Khandwa,Mandla,Mandla,Mandla,Dhar,Dhar,Dhar,Dhar,Dhar,Jhabua,Jhabua,Jhabua,Jhabua,Jhabua,Shahdol,Annupur,Shahdol,0,Dhar,Jhabua,Betul,Betul,Betul,Betul,Betul,Koraput,Koraput,Koraput,Koraput,Koraput,Nabarangpur,Nabarangpur,Nabarangpur,Koraput,Koraput,Koraput,Koraput,Koraput,Koraput,Koraput,Koraput,Koraput,Koraput,Mandla,Mandla,Mandla,Mandla,Mandla,Shahdol,Shahdol,Betul,Betul,Betul,Betul,Betul,Banswara,Banswara,Pratapgarh,Banswara,Nashik,Nashik,Nashik,Nashik,Nabarangpur,Nabarangpur,Nabarangpur,Nabarangpur,Nabarangpur,Koraput
,Total Distributed,,14373,12507,12393,1500,10525,10501,25028,28489,19071,18084,12400,7563,15686,13339,1549,6150,17400,9916,18770,20379,11877,8009,10781,11672,14070,312,15900,13789,2060,2920,16000,18700,10800,6600,15892,11662,21000,9500,1492,13595,9963,9865,8585,20663,10145,20940,11757,4035,16565,8638,22153,11355,15449,16554,6702,5466,1101,4351,7466,6062,8309,10629,393,183,2691,586,100,361,630,262,721,538,11600,4485,7543,0,8725,15009,15000,12782,17624,14002,14700,10001,8908,9011,14000,9001,14945,10739,12000,10011,3916,2514,3677,7917,2082,7000
,Funding Agency,,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Tata Motors,"Ministry of New and Renewable Energy, Sir Dorabji Trust,Tata Motors & Sheba",Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,MNRE & SDTT & L & T/ Sentil,MNRE & SDTT & L & T,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,MNRE & SDTT,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,Ministry of New and Renewable Energy & Madhya Pradesh Goverment,"Ministry of New and Renewable Energy, Madhya Pradesh Goverment & Sir Dorabaji Tata Trust",Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Sir Dorabji Tata Trust,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group,Ministry of New and Renewable Energy & Aditya Birla Group
,% Saturation as per NuPEA source,,83.44,64.39,44.76,2.91,91.62,16.47,37.36,66.38,71.24,60.39,53.1,23.44,30.82,70.16,4.51,20.61,55.3,64.29,65.14,77.96,63.42,51.3,86.68,85.58,51.33,1.14,50.37,69.56,6.98,10.18,66.27,53.14,88.96,69.3,46.45,39.79,58.84,55.38,12.27,56.79,57.79,47.18,61.64,59.59,55.53,46.48,73.31,13.82,38.39,59.73,51.44,73,85.79,46.3,85.07,51.39,8.26,55.19,89.01,52.15,59.16,75.37,8.57,3.34,39.35,12.37,1.75,5.15,20.28,5.54,14.48,9.33,89.07,37.67,59.33,0,81.36,53.91,55.71,69.84,80.74,77.76,76.55,53.16,78.51,23.34,76.89,20.02,66.22,54.2,81.13,34.97,69.64,40.75,40.39,66.54,13.24,52.49
Block Profile,Map of the Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Area of the Block,Rural Area (in Sq. Kms),616.69,522.02,733.76,"1,380.67",515.79,923.32,16.32,"1,471.90","1,441.02",681.08,649.24,521.48,766,"1,430.67",557.8,935.45,"1,163.89",956.99,"1,518.24","1,213.57","1,001.20",765.02,669.8,385.51,501.69,715.01,815.78,669.6,"1,006.35","1,041.66",718.89,534.54,670.16,529.9,691.19,588.67,"1,249.46",328.49,393.22,404.72,318.9,441.25,463.81,"1,184.97",305.08,777.49,935,"1,084.51",896.33,438.04,973.14,699.64,592.48,754.49,360.83,410.77,596.27,422.13,764.84,254.75,437.41,571.54,223.17,663.99,406.65,577.17,311.18,499.7,155.69,257.72,383.03,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,,# of Villages,105,96,167,,59,210,171,191,161,86,213,75,167,184,84,152,272,216,165,210,135,167,107,72,92,96,154,126,121,146,192,174,96,144,181,97,191,47,95,127,110,111,122,198,69,162,125,165,211,78,188,98,126,156,85,112,147,93,222,55,87,127,145,162,95,166,102,218,125,101,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,Total,"140,187",137625,178370,399302,83453,550166,487939,291950,249297,,379232,373825,458587,166864,213555,120038,248813,135340,176703,235640,214948,144231,162432,112639,211061,213216,231318,201756,165509,222512,258322,232871,172823,,,578423,296513,322282,114738,323204,171944,182362,,,120533,486930,,226440,232800,86795,280179,106793,113306,235784,57038,181906,98341,120929,125337,118957,99699,93166,58974,50736,68193,,40232,72579,43575,88128,22247,65664,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,Male,"69,333",68489,91990,202360,41691,288514,251096,147880,126124,,184927,189168,232504,85961,110789,62258,126454,68496,90276,115728,109673,70366,81796,56108,106849,107682,117020,101109,85027,113961,128649,117267,41545,,,301567,150680,161408,57960,161683,86913,91797,,,61234,247563,,114825,116670,43769,142886,54283,57073,119806,27830,90328,48375,59680,61225,58923,49144,45968,28460,24764,32883,,19836,35322,21325,43375,10778,33706,,,,,,,,,,,,,,,,,,,,,,,,,,
